# Semaine,C1,S1,C2,S2
0, 0.2, 0.5, 0.8, 0.1
1, 0.454, 0.07, 0.64, 0.06
2, 0.399589, -0.168743, 0.512, 0.028
3, 0.358547, -0.385721, 0.4096, 0.00239999
4, 0.286837, -0.52914, 0.32768, -0.01808
5, 0.22947, -0.643875, 0.262144, -0.034464
6, 0.183576, -0.735663, 0.209715, -0.0475712
7, 0.146861, -0.809093, 0.215328, -0.0651998
8, 0.117489, -0.867838, 0.172262, -0.0759662
9, 0.145763, -0.971976, 0.13781, -0.0845794
10, 0.11661, -1.03028, 0.110248, -0.0914699
11, 0.0932882, -1.07693, 0.0881984, -0.0969823
12, 0.0746306, -1.11424, 0.0705587, -0.101392
13, 0.113436, -1.20124, 0.056447, -0.10492
14, 0.0907485, -1.24661, 0.09972, -0.114885
15, 0.0725988, -1.28291, 0.079776, -0.119871
16, 0.111903, -1.36909, 0.0638208, -0.12386
17, 0.0895225, -1.41385, 0.0510566, -0.127051
18, 0.071618, -1.44966, 0.0408453, -0.129604
19, 0.0572944, -1.47831, 0.0326763, -0.131646
20, 0.0458355, -1.50123, 0.026141, -0.13328
21, 0.0917159, -1.5767, 0.0209128, -0.134587
22, 0.126323, -1.67053, 0.0167302, -0.135633
23, 0.101058, -1.72106, 0.0133842, -0.136469
24, 0.0808466, -1.76149, 0.0107074, -0.137138
25, 0.0646773, -1.79382, 0.00856588, -0.137674
26, 0.0517419, -1.81969, 0.00685271, -0.138102
27, 0.0413935, -1.84039, 0.00548217, -0.138445
28, 0.0883654, -1.91409, 0.061278, -0.145862
29, 0.0706923, -1.94944, 0.103364, -0.156069
30, 0.0565538, -1.97772, 0.0826912, -0.161237
31, 0.0998006, -2.05748, 0.0661529, -0.165371
32, 0.132421, -2.15454, 0.0529223, -0.168679
33, 0.105937, -2.20751, 0.0423379, -0.171325
34, 0.0847495, -2.24989, 0.0338703, -0.173442
35, 0.0677996, -2.28379, 0.0826907, -0.182278
36, 0.0542397, -2.31091, 0.0661526, -0.186413
37, 0.0433917, -2.3326, 0.0529221, -0.18972
38, 0.0347134, -2.34996, 0.0423377, -0.192367
39, 0.0833267, -2.42099, 0.0338701, -0.194483
40, 0.119995, -2.51146, 0.19388, -0.217606
41, 0.095996, -2.55946, 0.155104, -0.227299
42, 0.129551, -2.655, 0.124083, -0.235055
43, 0.103641, -2.70682, 0.0992664, -0.241259
44, 0.0829128, -2.74828, 0.0794131, -0.246222
45, 0.119683, -2.83858, 0.0635305, -0.250193
46, 0.0957462, -2.88646, 0.0508244, -0.253369
47, 0.076597, -2.92476, 0.0406595, -0.255911
48, 0.0612776, -2.9554, 0.0325276, -0.257944
49, 0.0490221, -2.97991, 0.0260221, -0.25957
50, 0.0392177, -2.99952, 0.0208177, -0.260871
51, 0.0313741, -3.0152, 0.0728453, -0.269055
52, 0.0808079, -3.08489, 0.0582763, -0.272697
53, 0.0646463, -3.11722, 0.046621, -0.275611
54, 0.105905, -3.20022, 0.0372968, -0.277942
55, 0.0847237, -3.24258, 0.0298375, -0.279807
56, 0.067779, -3.27647, 0.02387, -0.281299
57, 0.0542232, -3.30358, 0.019096, -0.282492
58, 0.0433786, -3.32527, 0.127817, -0.297733
59, 0.0347028, -3.34262, 0.153553, -0.311266
60, 0.0277623, -3.3565, 0.122842, -0.318944
61, 0.0222098, -3.36761, 0.098274, -0.325086
62, 0.0177679, -3.37649, 0.0786192, -0.33
