# Semaine,C,S,E,V,A,Psi
0, 0.2, 0.5, 0, 0, 0, -0.3
1, 0.16, 0.57, -0.01, 0, 0, -0.4
2, 0.128, 0.621, -0.02, 0, 0.114286, -0.473
3, 0.152229, 0.602157, -0.03, 0, 0, -0.419929
4, 0.121783, 0.640187, -0.04, 0, 0.114286, -0.478404
5, 0.14761, 0.614238, -0.05, 0, 0, -0.416627
6, 0.118088, 0.648075, -0.06, 0, 0, -0.469987
7, 0.0944705, 0.676802, -0.07, 0, 0, -0.512332
8, 0.0755764, 0.700613, -0.08, 0, 0, -0.545036
9, 0.0604611, 0.720076, -0.09, 0, 0, -0.569615
10, 0.0483689, 0.735853, -0.1, 0, 0, -0.587485
11, 0.0386951, 0.748579, -0.11, 0, 0.114286, -0.599884
12, 0.0858878, 0.701669, -0.12, 0, 0, -0.495781
13, 0.0687102, 0.716479, -0.13, 0, 0, -0.517769
14, 0.0549682, 0.730756, -0.14, 0, 0, -0.535787
15, 0.0439746, 0.743391, -0.15, 0, 0, -0.549416
16, 0.0351796, 0.754105, -0.16, 0, 0.114286, -0.558926
17, 0.0832763, 0.705838, -0.17, 0, 0, -0.452562
18, 0.0666211, 0.719608, -0.18, 0, 0, -0.472987
19, 0.0532968, 0.733156, -0.19, 0, 0, -0.489859
20, 0.0426375, 0.745259, -0.2, 0, 0, -0.502622
21, 0.03411, 0.755575, -0.21, 0, 0, -0.511465
22, 0.027288, 0.764143, -0.22, 0, 0, -0.516855
23, 0.0218304, 0.771156, -0.23, 0, 0, -0.519326
24, 0.0174643, 0.776846, -0.24, 0, 0.114286, -0.519382
25, 0.0701163, 0.724294, -0.25, 0, 0.114286, -0.404178
26, 0.109229, 0.676958, -0.26, 0, 0, -0.307729
27, 0.0873834, 0.694787, -0.27, 0, 0, -0.337404
28, 0.0699067, 0.71244, -0.28, 0, 0, -0.362533
29, 0.0559254, 0.728257, -0.29, 0, 0, -0.382332
30, 0.0447403, 0.741759, -0.3, 0, 0.114286, -0.397018
31, 0.0903785, 0.69584, -0.31, 0, 0, -0.295462
32, 0.0723028, 0.711769, -0.32, 0, 0, -0.319466
33, 0.0578423, 0.726963, -0.33, 0, 0, -0.339121
34, 0.0462738, 0.740345, -0.34, 0, 0, -0.354071
35, 0.037019, 0.751663, -0.35, 0, 0, -0.364644
